"job","job href","save-job","location","icon href 2","desc","badge","badge 2"
"Senior Officer, Merchandising","https://www.careerjet.com.bd/jobad/bdf61e3a1908d1f9b041293a5d6df0b00b","Save","Dhaka","[object Object]","Job Context  As a Senior Officer, Merchandising, the candidate`s primary objective would be to assist the department head to develop and implement effective strategies to promote t…","2 days ago",""
"Manager (Chemical Store)","https://www.careerjet.com.bd/jobad/bdfc4102f45e489c7dc0df99e7e721e59e","Save","Sreepur, Dhaka","[object Object]","Job Responsibilities   Ensuring proper maintenance & operation of chemical store.  Maintain stocks of chemical store independently.  Distributing chemicals to production floor as p…","2 days ago",""
"Sr. Executive (Certification), Sector- C","https://www.careerjet.com.bd/jobad/bd1b0f6a97ec363a4b74f06187f635b088","Save","Dhaka","[object Object]","Job Context  If you`re looking for a role where you can continue to make an impression, take the next step at Bashundhara Group where your contributions will always be valued. We a…","2 days ago",""
"GM/DGM - Commercial","https://www.careerjet.com.bd/jobad/bd6c56fbe0351f8a39542d81a29675300b","Save","Dhaka","[object Object]","Job Context  A leading garments industry intends to recruit ""GM / DGM - Commercial"" for its Corporate Head Office.   Job Responsibilities   Overall control and supervision of expor…","2 days ago",""
"সহকারী প্রশাসনিক কর্মকর্তা (পূর্বতন সাঁটমুদ্রাক্ষরিক কাম কম্পিউটার অপারেটর)","https://www.careerjet.com.bd/jobad/bd259289f6b515deb176b0c7ec5c286961","Save","Khagrachhari, Chittagong","[object Object]","সহকারী প্রশাসনিক কর্মকর্তা (পূর্বতন সাঁটমুদ্রাক্ষরিক কাম কম্পিউটার অপারেটর)…","2 days ago",""
"Project Accountant","https://www.careerjet.com.bd/jobad/bdfb1073f7c72000eb6c6fc8742807ae35","Save","Dhaka","[object Object]","Job Responsibilities   Ensure proper maintenance of books of Projects accounts/registers.  Ensure the timely reporting of all monthly financial information of Projects Accounts.  R…","2 days ago",""
"Lecturer / Teaching Assistant - Access Academy","https://www.careerjet.com.bd/jobad/bd59c589ff760bd1a0371642a53d72a3c6","Save","Chittagong","[object Object]","Job Context   East Delta University (EDU), a top-ranking research university in Bangladesh, is committed to academic excellence, cultural integration, and leadership engagement. Lo…","2 days ago",""
"Sr. Manager/ AGM & Head of Chairman`s Secretariat Office","https://www.careerjet.com.bd/jobad/bdf98f03dfb87fb6b913900f96ef213ea9","Save","Dhaka","[object Object]","Job Responsibilities   Responsibilities for this position may include but not limited to:  Communication with all Company Heads for business update and report to honorable Chairman…","2 days ago",""
"Site Engineer - Project Management (Contractual)","https://www.careerjet.com.bd/jobad/bd6b1adaed5030f2cb5c94241eb744af97","Save","Narayanganj, Dhaka","[object Object]","Job Context  Work Station: Rupshi, Narayanganj   Job Responsibilities   Supervise the site construction work  Ensure works and materials quality for site  Generate material requisi…","4 days ago","Apply easily"
"Executive - Project Management","https://www.careerjet.com.bd/jobad/bd53e28e2c51f8426111752d764917b31d","Save","Narayanganj, Dhaka","[object Object]","Job Context  Work Station: Rupshi, Narayanganj   Job Responsibilities   Coordinate with consultants, vendors and site team  Coordinate with SCM, TSD, F&A and Internal Audit  Genera…","4 days ago","Apply easily"
"Lead Software Developer","https://www.careerjet.com.bd/jobad/bdff044217ef220741e514c7e4c7eca02e","Save","Dhaka","[object Object]","debugs, documents, and maintains those programs.   Essential Functions   As directed, participates in conducting analysis, design, and implementation of computer based information …","6 days ago",""
"Business Development Manager, Employee Banking","https://www.careerjet.com.bd/jobad/bd8d1aad8fb82de3044ca1b97dfe7f5831","Save","Dhaka","[object Object]","Roles and Responsibility  Business   Ensure that the team monthly targets are effectively allocated and are met consistently.  Monitor and evaluate the day-to-day performance of di…","6 days ago",""
"Business Development Officer, EB","https://www.careerjet.com.bd/jobad/bd1d0af77afe274539706dc261964540d2","Save","Dhaka","[object Object]","The Role Responsibilities   Financial  To achieve set targets in terms of number of accounts and sales volume for Client Acquisition.  Control over cost and maintain cost income ra…","6 days ago",""
"Junior Information Security Auditor","https://www.careerjet.com.bd/jobad/bdd7e06a0251f4b51c61492833d6254461","Save","Dhaka","[object Object]","Junior Information Security Auditor   Dhaka, BD /   Compliance & Security - Compliance & Security (Bangladesh) /   Full-time   / On-site   About Augmedix:   Augmedix (Nasdaq: AUGX)…","6 days ago",""
"Administrative Officer","https://www.careerjet.com.bd/jobad/bd9b9cd248e315988a2db156c468866285","Save","Teknaf, Chittagong","[object Object]","We believe in the power and potential of every child. Globally we have committed ourselves to the ambitious target of reaching 100 million girls to ensure that they can learn, lead…","6 days ago",""
"Operations Intern (Night Shift)","https://www.careerjet.com.bd/jobad/bdbb2cf0777c0ac1bb2d48eede4542c1cb","Save","Dhaka","[object Object]","Operations Intern (Night Shift)   Dhaka, BD /   Global Operations - MDS Operations (Bangladesh) /   / On-site   About Augmedix:   Augmedix (Nasdaq: AUGX) delivers industry-leading,…","6 days ago",""
"External Affairs Counsultant","https://www.careerjet.com.bd/jobad/bdd1bf4aa82f1ea3f9b7abdc2e1ca7b51c","Save","Dhaka","[object Object]","Do you want to build a career that is truly worthwhile? Working at the World Bank Group provides a unique opportunity for you to help our clients solve their greatest development c…","6 days ago",""
"Merchandiser / Senior Merchandiser","https://www.careerjet.com.bd/jobad/bd8f86ed3b58c2e2ba8836ae3a549c21b7","Save","Uttar Khan, Dhaka","[object Object]","Job Context  Sinha Knit Industries Limited is a Sweater manufacturing company that produces sweater products and exports to European countries is looking for suitable candidates fo…","5 days ago","Apply easily"
"Quality Assurance Officer, ALP Project","https://www.careerjet.com.bd/jobad/bd99c35bac651458a48f3d7d9ffbd58254","Save","Sunamganj, Sylhet","[object Object]","Job Context  Jagorani Chakra Foundation (JCF) is a national voluntary social welfare organization. JCF is going to implement Alternative Learning Pathways (ALP) project supported b…","5 days ago","Apply easily"
"Programmer (.Net)","https://www.careerjet.com.bd/jobad/bd111f5cde0a06fc6b384d559d4311b221","Save","Uttara, Dhaka","[object Object]","Job Context  We are looking for a passionate & motivated Software Engineer/Programmer to join our team to help us accelerate the innovative development, modification and enhancemen…","5 days ago","Apply easily"
"Project Coordinator","https://www.careerjet.com.bd/jobad/bdf14f952db8972c4432424cc29185ee90","Save","Ukhia, Chittagong","[object Object]","Job Responsibilities   Project Coordinator (PC) will be responsible to Deputy Director Program, Shushilan (Focal Person);  Coordinate in achieving programmatic objectives; planning…","5 days ago","Apply easily"
"Manager - HR & Admin","https://www.careerjet.com.bd/jobad/bd86bf960c36095beef459df6f420e753a","Save","Gulshan, Dhaka","[object Object]","Job Responsibilities   To develop & implement HR Metrics and initiatives aligned with the overall business strategy.  To maintain effectively employee attendance & leave management…","5 days ago","Apply easily"
"Field Officer (Education) (Female)","https://www.careerjet.com.bd/jobad/bdc32b6e3c8cb958891316a85ca31fa72a","Save","Cox's Bazar, Chittagong","[object Object]","Job Context  Job Nature : Temporary   Job Responsibilities   Mobilization of the community in the IDB center, in outdoor space or in shelter.  Facilitation of different activities …","5 days ago","Apply easily"
"Welfare Officer (Female)","https://www.careerjet.com.bd/jobad/bd9cbdb427954173d13dddc2727126904b","Save","Uttar Khan, Dhaka","[object Object]","Job Context  Sinha Knit Industries Limited is a Sweater manufacturing company that produces sweater products and exports to European countries is looking for suitable candidates fo…","5 days ago","Apply easily"
"Senior Executive: Vendor Management","https://www.careerjet.com.bd/jobad/bd1b5d14dec8e501d8c6bc737f83f6bdd0","Save","Gulshan, Dhaka","[object Object]","Job Context  BongTech Ltd. has been serving the needs of North American Real Estate construction, preservation & development in association with partners in North America. BongTech…","5 days ago","Apply easily"
"Showroom Sales & Marketing officer","https://www.careerjet.com.bd/jobad/bddd23afbd85854ad4b5747fac2c3759c9","Save","Paltan, Dhaka","[object Object]","Job Responsibilities   Men & Women's clothes should be sold  Must handle customer  Be honest and hardworking  Must be able to work under pressure    Employment Status   Full-time  …","5 days ago","Apply easily"
"Manager - HR","https://www.careerjet.com.bd/jobad/bd77f9c11be73598ebf91f325727d6cda0","Save","Uttara, Dhaka","[object Object]","Job Responsibilities   Report to: Director HR/ Secretary  To attend duty as per timing fixed by the Management.  To provide all HR related support to the management including payro…","5 days ago","Apply easily"
"Accounts and Admin Officer","https://www.careerjet.com.bd/jobad/bd777c1f2f68dc4de28866beb0651f25a5","Save","Ukhia, Chittagong","[object Object]","Job Responsibilities   The Accounts and Admin Officer is overall responsible for cash and ledger book, expenditure statement, preparing financial reports, bank ledger/statement.  H…","5 days ago","Apply easily"
"Quality Assurance/ Quality Control Engineer","https://www.careerjet.com.bd/jobad/bd3a0804f0f167b36a3ee8a023a27e9f73","Save","Gulshan, Dhaka","[object Object]","Job Context   Quality assurance & quality control of construction work at all phases of the projects by regular & random inspection and checking at the site.  Working independently…","5 days ago","Apply easily"
"Executive, Tax & VAT","https://www.careerjet.com.bd/jobad/bd5d9b2dfedebe4118acb6d9389c31cd71","Save","Paltan, Dhaka","[object Object]","Job Context   Income Tax & Company Law  Job Location: Purana Paltan, Dhaka.    Job Responsibilities   You are involved in the audit of financial statements, tax compliance and repo…","5 days ago","Apply easily"
"Technical Coordinator, ALP Project","https://www.careerjet.com.bd/jobad/bd7f7b8c2ca0aeeda5abe49d1ce89eeac7","Save","Sunamganj, Sylhet","[object Object]","Job Context  Jagorani Chakra Foundation (JCF) is a national voluntary social welfare organization. JCF is going to implement Alternative Learning Pathways (ALP) project supported b…","5 days ago","Apply easily"
"Engineer (Electro Mechanical)","https://www.careerjet.com.bd/jobad/bd0584c5cc86a97eca564cb140fe13ecd1","Save","Uttara, Dhaka","[object Object]","Job Responsibilities   Responsible for setting up new machineries & equipment.  To take different measures for quick trouble shooting of machineries & equipment.  To supervise & co…","5 days ago","Apply easily"
"Market Development Officer","https://www.careerjet.com.bd/jobad/bd52129c22d661cb94197135c92bbefa72","Save","Ukhia, Chittagong","[object Object]","Job Responsibilities   This position is responsible for ensuring the supply mechanism of farmers groups with Farmers Market (FM) and other markets  Maintain close collaboration wit…","5 days ago","Apply easily"
"MSD","https://www.careerjet.com.bd/jobad/bd18c97a3e9d33cbb69297cff5845daaf7","Save","Paltan, Dhaka","[object Object]","Job Responsibilities   Checking of daily activities of the Managing Director that includes checking of mail and other notable activities and report it to the Managing Director on v…","5 days ago","Apply easily"
"Teacher","https://www.careerjet.com.bd/jobad/bdf19d0174c536b46cdb7225bc68dd04aa","Save","Rampura, Dhaka","[object Object]","Job Context   1. English Teacher  2. Mathematics Teacher  3. Junior Teacher  4. Arabic & Islam teacher    Job Responsibilities   Planning and delivering lessons to students of vari…","5 days ago","Apply easily"
"Sales Executive (Software)","https://www.careerjet.com.bd/jobad/bd1efd4ad9a1f5d237bfb3270f99142d9a","Save","Uttara, Dhaka","[object Object]","Job Context  Software Sales and Marketing.   Job Responsibilities   Handling sales and prospecting, investigating clients' specific needs, representing company professionally.  bui…","5 days ago","Apply easily"
"Sr. Merchandiser","https://www.careerjet.com.bd/jobad/bd04ab9bd38de8fb41b4fd6321b9f2d9f5","Save","Mohammadpur, Dhaka","[object Object]","Job Context  Job Location: Lalmatia, Mohammadpur, Dhaka.   Job Responsibilities   Maintain various documents (buyer wise, style wise, order wise)..  Very Strong Knowledge on costin…","5 days ago","Apply easily"
"Marketing Manager","https://www.careerjet.com.bd/jobad/bd86bc5f8fd4d7ea15a10faf6e79f9b71e","Save","Uttara, Dhaka","[object Object]","Job Context   Position: Manager, Business Development  Clear market vision, planning ability, excellent writing skill in English, excellent inter-personal communication skill, self…","5 days ago","Apply easily"
"Job Placement Officer, ALP Project","https://www.careerjet.com.bd/jobad/bdbb6b510ed478533f75d5f55feaa929d9","Save","Sunamganj, Sylhet","[object Object]","Job Context  Jagorani Chakra Foundation (JCF) is a national voluntary social welfare organization. JCF is going to implement Alternative Learning Pathways (ALP) project supported b…","5 days ago","Apply easily"
"Finance Manager, ALP Project","https://www.careerjet.com.bd/jobad/bdf48d653ea60dd96385cd5fdd6c4f2e0f","Save","Sunamganj, Sylhet","[object Object]","Job Context  Jagorani Chakra Foundation (JCF) is a national voluntary social welfare organization. JCF is going to implement Alternative Learning Pathways (ALP) project supported b…","5 days ago","Apply easily"
"Digital Content Developer","https://www.careerjet.com.bd/jobad/bd337b6906c577069a053308faf3a0e0aa","Save","Paltan, Dhaka","[object Object]","Job Responsibilities   Editing video footage-based storyline and transitions, enriching them with relevant music, dialogues, graphics and effects.  Performing all editing work incl…","5 days ago","Apply easily"
"Monitoring and MIS Officer","https://www.careerjet.com.bd/jobad/bd966e135b245d19a488e89db6afe9841e","Save","Ukhia, Chittagong","[object Object]","Job Responsibilities   Design, develop and implement results based Monitoring and MIS systems for the project;  Develop and operations of the relational database systems using mult…","5 days ago","Apply easily"
"Accounts Officer","https://www.careerjet.com.bd/jobad/bd8c177dd129848f19e80df1f88479e947","Save","Paltan, Dhaka","[object Object]","Job Context   Income Tax & Company Law.  Job Location: Purana Paltan, Dhaka.    Job Responsibilities   Perform monthly, quarterly and annual accounting activities including reconci…","5 days ago","Apply easily"
"Front Desk Executive","https://www.careerjet.com.bd/jobad/bd559066877fa1b296e3bf271aaea4edba","Save","Chittagong","[object Object]","Job Context   Smart and Energetic Persons are asked to apply for the position of USTC  JOB LOCATION: USTC, Foy`s Lake, Khulshi, Chattogram.    Job Responsibilities   Greet and welc…","5 days ago","Apply easily"
"Maintenance Officer- Mechanical","https://www.careerjet.com.bd/jobad/bd6464c172c5cee9cb2806c03882154bef","Save","Chittagong","[object Object]","Job Context  Maintenance Officer - Mechanical (KR Oxygen Ltd - Chittagong) is responsible for the Maintenance planning and supervising the day-to-day mechanical maintenance work of…","5 days ago","Apply easily"
"Electrical Operator","https://www.careerjet.com.bd/jobad/bde2a6b8dac627791fa5ddc5eb1f6b7a9d","Save","Banshkhali, Chittagong","[object Object]","Job Responsibilities  N/A   Employment Status   Full-time   Educational Requirements   B. Sc. -Electrical    Experience Requirements   5 to 8 year(s)    Additional Requirements   M…","5 days ago","Apply easily"
"Chemistry Operator-Assistant","https://www.careerjet.com.bd/jobad/bd5f343a22c105e4dfb4bd6317a0201714","Save","Banshkhali, Chittagong","[object Object]","Job Responsibilities  N/A   Employment Status   Full-time   Educational Requirements   B. Sc. / M. Sc Chemistry    Experience Requirements   3 to 4 year(s)    Additional Requiremen…","5 days ago","Apply easily"
"Plant In Charge - Mechanical","https://www.careerjet.com.bd/jobad/bd792122571c4ec796eb457a7ae58907a5","Save","Chittagong","[object Object]","Job Context  Plant In Charge - Mechanical (KR Oxygen Ltd - Chittagong) is responsible for the strategic planning and supervising the day-to-day mechanical maintenance work of the P…","5 days ago","Apply easily"
"Executive (Commercial)","https://www.careerjet.com.bd/jobad/bd20875e2a82e259611121351cf45616ea","Save","Pabna, Rajshahi","[object Object]","Job Context  Job Location: Ishwardi EPZ, Pakshy, Pabna.   Job Responsibilities   Organize the commercial team and lead them for performing all commercial activities in time.  Respo…","5 days ago","Apply easily"
"Grant Manager","https://www.careerjet.com.bd/jobad/bdde2d944b3f596c3b4f7a0480b53d020f","Save","Dhaka","[object Object]","Job Context   PRACTICE AREA: Grants  REPORTS TO: Chief of Party (COP)  GRADE:N/A  DATE:Immediately  Counterpart International helps people build better lives and more durable futur…","5 days ago","Apply easily"
"Assistant Teacher (Religion + English)","https://www.careerjet.com.bd/jobad/bd216143d3b41a70763cceae7f50628a68","Save","Sylhet","[object Object]","Job Context   Report to : Senior Program Manager  Location : Muslim Hands School of Excellence, Daspara, Khadimnagar, Sylhet  Last date: 16th March, 2023  Length of Contract: 1 yea…","5 days ago","Apply easily"
"Research Scientist","https://www.careerjet.com.bd/jobad/bde27b8fb45a286d6aca08596a44ca3eef","Save","Dhaka","[object Object]","Job Context  Research scientist in artificial intelligent field.   Job Responsibilities   Inspecting authoritative publications to discern understudied topics  Crafting and proposi…","5 days ago","Apply easily"
"Electric Asst. Manager","https://www.careerjet.com.bd/jobad/bde35e585269824b9c56bcc14f45a1939b","Save","Pabna, Rajshahi","[object Object]","Job Context  Job Location: Ishwardi EPZ, Pakshy, Pabna.   Job Responsibilities   Be responsible for the maintenance staff of the factory.  Maintain and update the Electric item of …","5 days ago","Apply easily"
"Account Officer/ Accountant in Auto Parts Industry","https://www.careerjet.com.bd/jobad/bd446253700fc528f4d27a499dfc0232d9","Save","Dhaka","[object Object]","Job Responsibilities  Knowledge of accounts & will able to handle all related accounts & billing.   Employment Status   Full-time   Workplace  Work at office    Educational Require…","5 days ago","Apply easily"
"Executive/ Sr. Executive - Distribution, BOGCL","https://www.careerjet.com.bd/jobad/bd192ceaf13629d8ca4f5e4bde95915d57","Save","Keraniganj, Dhaka","[object Object]","Job Context  Bashundhara Oil and Gas Company Ltd., a subsidiary of Bashundhara Group, is looking for some competent candidate for the Position of ""Executive / Sr. Executive - Distr…","5 days ago","Apply easily"
"Asst. Registrar (Ophthalmology)","https://www.careerjet.com.bd/jobad/bd0ae3abc46214496142f8e1095e62c3b2","Save","Chittagong","[object Object]","Job Context  Institute of Community Ophthalmology is a prestigious eye care post graduate institute which is looking for energetic, motivated, career making Doctor/ Faculties for t…","5 days ago","Apply easily"
"Lab Analysist","https://www.careerjet.com.bd/jobad/bd6ddef36a96a23d460193f5a3f9b53d5f","Save","Banshkhali, Chittagong","[object Object]","Job Responsibilities  N/A   Employment Status   Full-time   Educational Requirements   B. Sc. in Chemical Engineering / Chemistry.    Experience Requirements   5 to 8 year(s)    Ad…","5 days ago","Apply easily"
"Assistant Professor","https://www.careerjet.com.bd/jobad/bdaa60dc275ca6978893f15f8cc6bef885","Save","Dhaka","[object Object]","Job Context  Applications are invited from suitable candidates for the position of Professor, Associate Professor, Assistant Professor and Lecturer in the areas of Business Adminis…","5 days ago","Apply easily"
"Project Coordinator","https://www.careerjet.com.bd/jobad/bdbde0433186886803a6fcf5b3c83099d0","Save","Teknaf, Chittagong","[object Object]","Job Context   YPSA (Young Power in Social Action) is an organization for sustainable development working in the greater Chattogram division including Chattogram Hill Tracts (CHT) s…","5 days ago","Apply easily"
"ESP/Ash Operator","https://www.careerjet.com.bd/jobad/bda7b6c4aceb6ff4237e86503b6097d10e","Save","Banshkhali, Chittagong","[object Object]","Job Responsibilities  N/A   Employment Status   Full-time   Educational Requirements   B. Sc. - Mechanical    Experience Requirements   5 to 8 year(s)    Additional Requirements   …","5 days ago","Apply easily"
"Manager - Import & Purchase","https://www.careerjet.com.bd/jobad/bdf33e68939c18ae69187d58be4432a354","Save","Dhaka","[object Object]","Job Responsibilities  Well versed with negotiation, Product Costing, Import laws dealing with customs   Employment Status   Full-time   Workplace  Work at office    Educational Req…","5 days ago","Apply easily"
"Shift Control Engineer - BTG","https://www.careerjet.com.bd/jobad/bd705423e77bad9fe1066ec2f8efbcc42a","Save","Banshkhali, Chittagong","[object Object]","Job Responsibilities  N/A   Employment Status   Full-time   Educational Requirements   B. Sc. - Mechanical    Experience Requirements   5 to 8 year(s)    Additional Requirements   …","5 days ago","Apply easily"
"Lecturer","https://www.careerjet.com.bd/jobad/bd9635990d67c9e88d8f8ce4011af507ac","Save","Dhaka","[object Object]","Job Context  Applications are invited from suitable candidates for the position of Professor, Associate Professor, Assistant Professor and Lecturer in the areas of Business Adminis…","5 days ago","Apply easily"
"Export Officer for M & S","https://www.careerjet.com.bd/jobad/bd6267f79558cccf9ccd9539d9878b4061","Save","Dhaka","[object Object]","Job Responsibilities   Collect & save the contract & UD and if any obstacle communicate with Merchandiser, L/C & UD department;  Keep tracking of shipments quantity by stroke wise;…","5 days ago","Apply easily"
"Store Officer in Auto Parts Industry","https://www.careerjet.com.bd/jobad/bdfb73c6be014490a2009806e8199f98d8","Save","Dhaka","[object Object]","Job Responsibilities  Will able to handle store activities & material movement.   Employment Status   Full-time   Workplace  Work at office    Educational Requirements   Bachelor d…","5 days ago","Apply easily"
"Deputy Sales Manager","https://www.careerjet.com.bd/jobad/bd6082b443268326be7c1d491266afae83","Save","Dhaka","[object Object]","Job Context  Gaco Pharmaceuticals is looking for a dynamic, hardworking and creative Deputy Sales Manager to strengthen its sales team to manage sales programs of the company more …","5 days ago","Apply easily"
"Project Engineer","https://www.careerjet.com.bd/jobad/bd5c8cd5efe93d86b5099561c0523521d8","Save","Dhaka","[object Object]","Job Responsibilities   Project supervision  Prepare contractor bill  Drawing study  Estimation  MPR submit on due time  All related works of high rise building  No need to apply wi…","5 days ago","Apply easily"
"I&C Engineer","https://www.careerjet.com.bd/jobad/bd39d9552e55c0d57624d46c6875e3811b","Save","Banshkhali, Chittagong","[object Object]","Job Responsibilities  N/A   Employment Status   Full-time   Educational Requirements   B. Sc. - Electrical    Experience Requirements   5 to 8 year(s)    Additional Requirements   …","5 days ago","Apply easily"
"Intern/ Software Sales Representative","https://www.careerjet.com.bd/jobad/bda01e407b79613f2f7f2c167f0293d1ed","Save","Dhaka","[object Object]","Job Context   We are a software company looking for a driven and results-oriented Sales Representative to join our team. In this role, you will be responsible for generating leads …","5 days ago","Apply easily"
"Technical Specialist (M & E)","https://www.careerjet.com.bd/jobad/bd4dc92a561ceba61d95e8cbc945cf9f58","Save","Dhaka","[object Object]","Job Context   Dhaka Ahsania Mission (DAM) is a non-government development organization founded in 1958 by Khan Bahadur Ahsanullah, an eminent educationist, reformer and Sufi with t…","5 days ago","Apply easily"
"Assistant Producer (Digital)","https://www.careerjet.com.bd/jobad/bd3473bdeb0fcc3876a707ab75665729df","Save","Cox's Bazar, Chittagong","[object Object]","Job Context   Reports To: Producer  Duration: Initially fixed term to 30 June 2023, with strong potential for extension  Start Date: April 01, 2023    Job Responsibilities   Employ…","5 days ago","Apply easily"
"Junior Assistant Producer (Digital)","https://www.careerjet.com.bd/jobad/bd7accbe535787afc7d5c9e8f182c6ee84","Save","Cox's Bazar, Chittagong","[object Object]","Job Context   Reports To: Producer  Duration: Initially fixed term to 30 June 2023, with strong potential for extension  Start Date: April 01, 2023    Job Responsibilities…","5 days ago","Apply easily"
"Desulphurization Operator","https://www.careerjet.com.bd/jobad/bd87403d3fc080a89303b77133c345d7f0","Save","Banshkhali, Chittagong","[object Object]","Job Responsibilities  N/A   Employment Status   Full-time   Educational Requirements   B. Sc. - Mechanical    Experience Requirements   5 to 8 year(s)    Additional Requirements   …","5 days ago","Apply easily"
"Structural Design Engineer","https://www.careerjet.com.bd/jobad/bda41b6706eefb2719e2ae4b8ccf60c71e","Save","Gazipur, Dhaka","[object Object]","Job Responsibilities   Analysis & Design of RCC & Pre-fabricated steel building.  Prepare foundation design  Anchor bolt Design, Steel Connection Design  Prepare proposal drawings …","5 days ago","Apply easily"
"Quality Assurance Inspector in Auto Parts Industry","https://www.careerjet.com.bd/jobad/bd4f33ef08250d525f652ba121a452c2ab","Save","Dhaka","[object Object]","Job Responsibilities  Able to interpret engineering drawing, Schematic Diagrams GD&T.   Employment Status   Full-time   Workplace  Work at office    Educational Requirements   Dipl…","5 days ago","Apply easily"
"Junior Teacher","https://www.careerjet.com.bd/jobad/bd3cbbdbef93d2e1b7482abbf1ce8f70aa","Save","Sylhet","[object Object]","Job Context   Report to: Senior Program Manager  Location: Muslim Hands School of Excellence, Daspara, Khadimnagar, Sylhet  Last date: 16th March, 2023  Length of Contract: 1 year …","5 days ago","Apply easily"
"Operation Head in Auto Parts Industry","https://www.careerjet.com.bd/jobad/bd1d1e473f209f8d006ef4bdad48154845","Save","Dhaka","[object Object]","Job Responsibilities  Setting up new plant, Seat manufacturing, Sheet metal components.   Employment Status   Full-time   Workplace  Work at office    Educational Requirements   Ba…","5 days ago","Apply easily"
"Quality Inspector - Seamless Dyeing","https://www.careerjet.com.bd/jobad/bdc768ea97efbf2a11fbdde6f74b218c18","Save","Gazipur, Dhaka","[object Object]","Job Responsibilities   To know about the synthetic fabric defects.  To know about the TQM system.  To know about quality process. Well Knowledge about garment and fabric quality  N…","5 days ago","Apply easily"
"Executive, Sales & Marketing","https://www.careerjet.com.bd/jobad/bdc9481d726ea2980e79f5e79c7c9e3349","Save","Dhaka","[object Object]","Job Context  We have more than 500 available flats so Apply for sale. If you are confident about achieving a sales target or want to work for a Handsome Commission, this is your op…","5 days ago","Apply easily"
"Assistant Manager - Quality in Auto Parts Industry","https://www.careerjet.com.bd/jobad/bd64c3a3c7b0bb1dd1db09da4f498336d6","Save","Dhaka","[object Object]","Job Responsibilities  Functional knowledge of machining process, Knowledge of problem solving tools, GD and T, SPC, FMEA, APQP, MSA, Communication Skill, Computer Skill, Plans and …","5 days ago","Apply easily"
"Executive- Accounts","https://www.careerjet.com.bd/jobad/bd33862234f1820f9c21ada6a0c3ef192d","Save","Pabna, Rajshahi","[object Object]","Job Context  Job Location: Ishwardi EPZ, Pakshy, Pabna.   Job Responsibilities   Overall supervision and monitoring of accounts & finance activities.  Daily fund/cash management.  …","5 days ago","Apply easily"
"Asst. Jetty Operator","https://www.careerjet.com.bd/jobad/bdc9a3a2d3a8b55118000d56cb41f5d47e","Save","Banshkhali, Chittagong","[object Object]","Job Responsibilities  N/A   Employment Status   Full-time   Educational Requirements   Diploma - Mechanical    Experience Requirements   3 to 4 year(s)    Additional Requirements  …","5 days ago","Apply easily"
"Chinese Interpreter","https://www.careerjet.com.bd/jobad/bd921ef5dba0ce425d40ff2eb9555607f3","Save","Pabna, Rajshahi","[object Object]","Job Context  Job Location: Ishwardi EPZ, Pakshy, Pabna.   Job Responsibilities   Expertise in translation and interpretation from Chinese to Bangla and Bangla to Chinese.  Make the…","5 days ago","Apply easily"
"Professor","https://www.careerjet.com.bd/jobad/bdb3ea7f1fda32e4354833645b12da4949","Save","Dhaka","[object Object]","Job Context  Applications are invited from suitable candidates for the position of Professor, Associate Professor, Assistant Professor and Lecturer in the areas of Business Adminis…","5 days ago","Apply easily"
"Senior Fire Safety Engineer","https://www.careerjet.com.bd/jobad/bdf6f3f7d5ab91dc9e4276af3762f81bb3","Save","Dhaka","[object Object]","Job Context  We are looking for a senior fire safety engineer who will be responsible to drawings documents, calculations for our projects. The Engineer responsibilities include un…","5 days ago","Apply easily"
"Local Operator - Chemistry","https://www.careerjet.com.bd/jobad/bda50a25b3654dd93d51b97d1d785ec47f","Save","Banshkhali, Chittagong","[object Object]","Job Responsibilities  N/A   Employment Status   Full-time   Educational Requirements   B. Sc. / M. Sc in Chemical Engineering / Chemistry    Experience Requirements   3 to 4 year(s…","5 days ago","Apply easily"
"Manager","https://www.careerjet.com.bd/jobad/bd54354f27741703f59392a0613b9aa267","Save","Sylhet","[object Object]","Job Context  Is looking for a candidate for the position of ""Manager"" for Mirror Global Associates. The incumbent will be responsible for the management and promotion of uk based d…","5 days ago","Apply easily"
"Executive / Sr. Executive - IE","https://www.careerjet.com.bd/jobad/bd8dbcbdb630fb0df3d51309493d6b637f","Save","Ashuganj, Chittagong","[object Object]","Job Context   Rider Leather Bags & Luggage Factory Ltd. is 100% export oriented Luggage and Bag manufacturer. We are looking for an energetic & positive mindset well- experienced p…","5 days ago","Apply easily"
"Executive- Admin, (HR & Compliance)","https://www.careerjet.com.bd/jobad/bd23d2b7f21f8aec0ead44772b70cff006","Save","Pabna, Rajshahi","[object Object]","Job Context  Job Location: Ishwardi EPZ, Pakshy, Pabna.   Job Responsibilities   Update Recruitment Register.  Update Environment, Health & Safety (E.H.S.) committee and arrange me…","5 days ago","Apply easily"
"Sr. Full Stack Java Developer/Architect","https://www.careerjet.com.bd/jobad/bd21db07be385d16139f342cb8ce4978bc","Save","Dhaka","[object Object]","Job Context   Techno Green-Carbon Ltd is looking for a Sr. Full Stack Java Developer/Architect for the Software Department.  As a Full Stack Java Developer/Architect, you will be r…","5 days ago","Apply easily"
"Asst. Manager/Manager, Business Development","https://www.careerjet.com.bd/jobad/bd1f46a58a505f774a87ba90b097a4e24f","Save","Dhaka","[object Object]","Job Context   We are looking for young, energetic, dynamic, dedicated, smart, strategic and self-driven experienced personnel for the position of Asst. Manager/Manager, Business De…","5 days ago","Apply easily"
